date;debit_fin_de_journee;source;pits
2012-10-14;28.0728;Storengy;Saline
2012-10-18;0.0;Storengy;Saline
2012-10-19;26.0676;Storengy;Saline
2012-11-01;0.0;Storengy;Saline
2012-11-02;-5.013;Storengy;Saline
2012-11-10;-4.0104;Storengy;Saline
2012-11-11;0.0;Storengy;Saline
2012-11-13;0.0;Storengy;Saline
2012-12-01;-41.1066;Storengy;Saline
2012-12-04;-15.039;Storengy;Saline
2012-12-05;-22.0572;Storengy;Saline
2012-12-11;-6.0156;Storengy;Saline
2012-12-16;-4.0104;Storengy;Saline
2012-12-22;-1.0026;Storengy;Saline
2013-01-04;0.0;Storengy;Saline
2013-01-16;-264.6864;Storengy;Saline
2013-01-18;-215.559;Storengy;Saline
2013-01-19;-46.1196;Storengy;Saline
2013-02-04;-6.0156;Storengy;Saline
2013-02-06;-161.4186;Storengy;Saline
2013-02-18;-86.2236;Storengy;Saline
2013-02-24;-180.468;Storengy;Saline
2013-03-10;26.0676;Storengy;Saline
2013-03-13;-84.2184;Storengy;Saline
2013-03-14;-55.143;Storengy;Saline
2013-03-17;10.026;Storengy;Saline
2013-04-04;-213.5538;Storengy;Saline
2013-04-06;-183.4758;Storengy;Saline
2013-04-08;-115.299;Storengy;Saline
2013-04-12;1.0026;Storengy;Saline
2013-04-16;11.0286;Storengy;Saline
2013-04-17;3.0078;Storengy;Saline
2013-04-25;34.0884;Storengy;Saline
2013-05-05;31.0806;Storengy;Saline
2013-05-08;32.0832;Storengy;Saline
2013-05-09;31.0806;Storengy;Saline
2013-05-14;30.078;Storengy;Saline
2013-05-19;42.1092;Storengy;Saline
2013-05-20;42.1092;Storengy;Saline
2013-05-25;5.013;Storengy;Saline
2013-05-26;21.0546;Storengy;Saline
2013-05-28;17.0442;Storengy;Saline
2013-05-29;33.0858;Storengy;Saline
2013-06-03;44.1144;Storengy;Saline
2013-06-06;43.1118;Storengy;Saline
2013-06-13;48.1248;Storengy;Saline
2013-06-19;46.1196;Storengy;Saline
2013-06-20;47.1222;Storengy;Saline
2013-06-22;49.1274;Storengy;Saline
2013-06-25;47.1222;Storengy;Saline
2013-06-30;44.1144;Storengy;Saline
2013-07-02;39.1014;Storengy;Saline
2013-07-08;38.0988;Storengy;Saline
2013-07-13;38.0988;Storengy;Saline
2013-07-16;36.0936;Storengy;Saline
2013-07-30;34.0884;Storengy;Saline
2013-08-05;47.1222;Storengy;Saline
2013-08-09;47.1222;Storengy;Saline
2013-08-10;47.1222;Storengy;Saline
2013-08-11;47.1222;Storengy;Saline
2013-08-12;47.1222;Storengy;Saline
2013-08-14;47.1222;Storengy;Saline
2013-09-01;48.1248;Storengy;Saline
2013-09-19;32.0832;Storengy;Saline
2013-10-02;18.0468;Storengy;Saline
2013-10-17;-9.0234;Storengy;Saline
2013-10-18;13.0338;Storengy;Saline
2013-10-19;26.0676;Storengy;Saline
2013-10-20;25.065;Storengy;Saline
2013-10-24;12.0312;Storengy;Saline
2013-10-25;15.039;Storengy;Saline
2013-10-28;28.0728;Storengy;Saline
2013-11-06;-13.0338;Storengy;Saline
2013-11-07;-19.0494;Storengy;Saline
2013-11-08;0.0;Storengy;Saline
2013-11-17;-8.0208;Storengy;Saline
2013-11-19;-33.0858;Storengy;Saline
2013-11-21;-126.3276;Storengy;Saline
2013-11-26;-151.3926;Storengy;Saline
2013-11-30;-37.0962;Storengy;Saline
2013-12-01;-4.0104;Storengy;Saline
2013-12-05;-40.104;Storengy;Saline
2013-12-14;-2.0052;Storengy;Saline
2013-12-17;9.0234;Storengy;Saline
2013-12-18;41.1066;Storengy;Saline
2013-12-19;37.0962;Storengy;Saline
2014-01-02;38.0988;Storengy;Saline
2014-01-04;35.091;Storengy;Saline
2014-01-08;6.0156;Storengy;Saline
2014-01-14;11.0286;Storengy;Saline
2014-01-18;3.0078;Storengy;Saline
2014-01-23;13.0338;Storengy;Saline
2014-01-25;16.0416;Storengy;Saline
2014-01-31;-17.0442;Storengy;Saline
2014-02-03;-29.0754;Storengy;Saline
2014-02-05;3.0078;Storengy;Saline
2014-02-07;-2.0052;Storengy;Saline
2014-02-14;-9.0234;Storengy;Saline
2014-02-22;-17.0442;Storengy;Saline
2014-03-01;0.0;Storengy;Saline
2014-03-03;1.0026;Storengy;Saline
2014-03-06;-18.0468;Storengy;Saline
2014-03-11;-18.0468;Storengy;Saline
2014-03-20;11.0286;Storengy;Saline
2014-03-21;4.0104;Storengy;Saline
2014-03-23;3.0078;Storengy;Saline
2014-03-28;-20.052;Storengy;Saline
2014-04-03;52.1352;Storengy;Saline
2014-04-05;48.1248;Storengy;Saline
2014-04-09;2.0052;Storengy;Saline
2014-04-18;62.1612;Storengy;Saline
2014-04-24;26.0676;Storengy;Saline
2014-05-03;0.0;Storengy;Saline
2014-05-07;0.0;Storengy;Saline
2014-05-14;0.0;Storengy;Saline
2014-05-17;1.0026;Storengy;Saline
2014-05-20;0.0;Storengy;Saline
2014-05-23;8.0208;Storengy;Saline
2014-05-29;13.0338;Storengy;Saline
2014-06-13;-1.0026;Storengy;Saline
2014-06-14;-1.0026;Storengy;Saline
2014-06-21;14.0364;Storengy;Saline
2014-06-22;14.0364;Storengy;Saline
2014-06-23;2.0052;Storengy;Saline
2014-06-27;33.0858;Storengy;Saline
2014-06-30;2.0052;Storengy;Saline
